age,sex,avg_implied,total_implied,implied_dist
12,male,12952.973357625,1958056.2188135,0.00661522035637666
13,male,13183.101934,1958056.2188135,0.00673274945189693
14,male,13860.03324775,1958056.2188135,0.0070784654263648
15,male,15050.024670875,1958056.2188135,0.00768620661974388
16,male,16504.445998,1958056.2188135,0.00842899495909315
17,male,18172.959309625,1958056.2188135,0.00928112233704762
18,male,20008.3447362499,1958056.2188135,0.0102184730673229
19,male,21258.7401748751,1958056.2188135,0.0108570632296538
20,male,21978.1455185,1958056.2188135,0.0112244711399644
21,male,22527.67314,1958056.2188135,0.0115051207026379
22,male,22440.978381,1958056.2188135,0.0114608447731895
23,male,23206.6122205,1958056.2188135,0.0118518620647992
24,male,23474.1905811251,1958056.2188135,0.0119885171608349
25,male,23606.726779125,1958056.2188135,0.0120562047975465
26,male,23345.23867525,1958056.2188135,0.0119226600599835
27,male,22927.968137125,1958056.2188135,0.0117095555872335
28,male,22799.766192125,1958056.2188135,0.0116440814993252
29,male,22821.6156097499,1958056.2188135,0.0116552402277698
30,male,23487.652094,1958056.2188135,0.011995392097696
31,male,23261.8961514999,1958056.2188135,0.0118800961524974
32,male,21045.1083162501,1958056.2188135,0.0107479591821947
33,male,18620.9945034999,1958056.2188135,0.00950993864455203
34,male,17484.76965525,1958056.2188135,0.00892965660906559
35,male,16277.21098375,1958056.2188135,0.00831294363632384
36,male,15269.0954889999,1958056.2188135,0.00779808840128826
37,male,14324.237347875,1958056.2188135,0.00731553936513371
38,male,13248.301484375,1958056.2188135,0.00676604755117958
39,male,12061.7804222501,1958056.2188135,0.0061600787078315
40,male,11122.465768875,1958056.2188135,0.00568036078944389
41,male,10006.523531875,1958056.2188135,0.00511043729783128
42,male,9055.36444450007,1958056.2188135,0.00462467030185029
43,male,8247.66795750003,1958056.2188135,0.00421217117172344
44,male,7533.93584774993,1958056.2188135,0.00384766064189678
45,male,6690.42997237502,1958056.2188135,0.00341687327876068
46,male,5574.93320849992,1958056.2188135,0.00284717729497986
47,male,4797.89504912502,1958056.2188135,0.00245033569671066
48,male,4315.00681075003,1958056.2188135,0.00220371957111872
49,male,3909.00015324994,1958056.2188135,0.00199636768121941
50,male,3660.33298424995,1958056.2188135,0.0018693707305646
51,male,3639.45938575,1958056.2188135,0.00185871036325778
52,male,3694.69346675003,1958056.2188135,0.00188691899203428
53,male,3718.84583237497,1958056.2188135,0.00189925386035567
54,male,3766.98220187504,1958056.2188135,0.00192383761287389
55,male,3704.32739137503,1958056.2188135,0.00189183913913345
56,male,3662.04891087499,1958056.2188135,0.00187024707242269
57,male,3622.12393625005,1958056.2188135,0.00184985696602976
58,male,3576.01104962494,1958056.2188135,0.00182630662759614
59,male,3554.409410625,1958056.2188135,0.00181527444231342
60,male,3655.34795237493,1958056.2188135,0.00186682482211359
61,male,3682.91785749997,1958056.2188135,0.00188090506396781
62,male,3621.30094187494,1958056.2188135,0.00184943665410654
63,male,3534.96212737504,1958056.2188135,0.00180534250927539
64,male,3400.01150162501,1958056.2188135,0.00173642179880069
65,male,3323.94751987496,1958056.2188135,0.00169757511961997
66,male,3107.64108062504,1958056.2188135,0.0015871051355758
67,male,2949.75932999997,1958056.2188135,0.00150647325733446
68,male,2866.90702199997,1958056.2188135,0.00146415970821164
69,male,2901.44049137505,1958056.2188135,0.00148179631590619
70,male,2953.87338437504,1958056.2188135,0.00150857434837339
71,male,3063.58921824998,1958056.2188135,0.00156460738400371
72,male,3194.09679587506,1958056.2188135,0.00163125898285522
73,male,3244.53051362495,1958056.2188135,0.00165701601539868
74,male,3219.55110799999,1958056.2188135,0.00164425876901068
75,male,3181.96406062503,1958056.2188135,0.00162506266676713
76,male,3194.74203687499,1958056.2188135,0.00163158851425158
77,male,3269.87242112501,1958056.2188135,0.00166995839532453
78,male,3243.58148062507,1958056.2188135,0.00165653133421805
79,male,3263.25496275001,1958056.2188135,0.00166657878941158
80,male,3286.83389574999,1958056.2188135,0.00167862079963244
81,male,3331.26295700001,1958056.2188135,0.00170131119065551
82,male,3321.17552362499,1958056.2188135,0.00169615943184587
83,male,3299.108953875,1958056.2188135,0.00168488980151659
84,male,3242.553416,1958056.2188135,0.00165600629075137
85,male,3073.75070712501,1958056.2188135,0.00156979696373967
86,male,3103.79634425,1958056.2188135,0.00158514158808513
87,male,2976.98371450001,1958056.2188135,0.00152037703815468
88,male,2792.71787725001,1958056.2188135,0.00142627052809663
89,male,2562.710222375,1958056.2188135,0.00130880318846407
90,male,2330.045050875,1958056.2188135,0.00118997862701149
91,male,2111.534149125,1958056.2188135,0.00107838280067592
92,male,1895.53766237501,1958056.2188135,0.000968071112648452
93,male,1677.282818625,1958056.2188135,0.000856606057839016
94,male,1443.05857475,1958056.2188135,0.000736985261651188
95,male,1207.694328125,1958056.2188135,0.000616782254013531
96,male,964.680384875,1958056.2188135,0.000492672465481893
97,male,736.283868375001,1958056.2188135,0.000376027951240929
98,male,533.661554625,1958056.2188135,0.000272546594677642
99,male,385.474587875,1958056.2188135,0.000196865944997525
100,male,10964.077026875,1958056.2188135,0.00559946998535046
