year,total_unauthorized,total_nonimmigrant,overstay_pct_overall,source
2010,10800000,1900000,0.40,"DHS Jan 2010 unauthorized; DHS Dec 2010 NI stock; Warren & Kerwin (2017)"
2015,10700000,2100000,0.42,"DHS Jan 2015 unauthorized; DHS Apr 2016 NI stock; updated Warren & Kerwin"
